
 num     #instances         #bytes  class name
 226:           748          17952  org.hibernate.loader.PropertyPath
 227:           557          17824  sun.reflect.UnsafeObjectFieldAccessorImpl
 228:           318          17808  org.apache.tomcat.util.descriptor.tld.TagXml
 229:           768          17440  [Lorg.springframework.core.MethodParameter;
 230:           363          17424  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails
 231:           726          17424  org.hibernate.loader.plan.exec.internal.EntityReferenceAliasesImpl
 232:           726          17424  org.hibernate.loader.plan.exec.internal.LoadQueryJoinAndFetchProcessor
 233:           726          17424  org.hibernate.loader.plan.exec.process.internal.EntityReferenceInitializerImpl
 234:           726          17424  org.hibernate.loader.plan.exec.process.internal.ResultSetProcessorImpl
 235:           432          17280  org.hibernate.loader.DefaultEntityAliases
 236:           357          17136  cn.nubia.framework.validator.internal.metadata.raw.ConstrainedParameter
 237:           354          16992  java.util.logging.LogManager$LoggerWeakRef
 238:           708          16992  org.springframework.util.ConcurrentReferenceHashMap$Entry
 239:           353          16944  cn.nubia.framework.validator.internal.metadata.aggregated.PropertyMetaData
 240:           688          16512  sun.reflect.generics.tree.Wildcard
 241:           410          16400  com.sun.org.apache.xerces.internal.impl.dtd.XMLSimpleType
 242:           404          16160  java.math.BigInteger
 243:           155          16120  org.springframework.context.annotation.ScannedGenericBeanDefinition
 244:          1002          16032  sun.reflect.DelegatingConstructorAccessorImpl
 245:           666          15984  cn.nubia.framework.validator.internal.metadata.raw.ExecutableElement$MethodElement
 246:           398          15920  java.beans.GenericBeanInfo
 247:           329          15792  [Lcom.sun.org.apache.xerces.internal.utils.XMLSecurityManager$Limit;
 248:           486          15552  java.io.FileDescriptor
 249:           644          15456  org.hibernate.property.DirectPropertyAccessor$DirectGetter
 250:           644          15456  org.hibernate.property.DirectPropertyAccessor$DirectSetter
 251:           384          15360  org.apache.log4j.Logger
 252:           640          15360  org.hibernate.annotations.common.reflection.java.JavaReflectionManager$MemberKey
 253:           172          15136  java.util.jar.JarVerifier
 254:           471          15072  java.io.FileInputStream
 255:            36          14976  [Ljava.util.concurrent.atomic.AtomicLong;
 256:           624          14976  org.springframework.beans.factory.annotation.InjectionMetadata
 257:           412          14920  [Ljavax.management.ObjectName$Property;
 258:           617          14808  org.apache.log4j.CategoryKey
 259:           140          14560  org.springframework.context.annotation.ScannedGenericBeanDefinition
 260:           363          14520  org.hibernate.loader.entity.plan.EntityLoader
 261:           363          14520  org.hibernate.loader.plan.build.internal.spaces.EntityQuerySpaceImpl
 262:           363          14520  org.hibernate.loader.plan.exec.internal.AliasResolutionContextImpl
 263:           598          14352  javax.management.ObjectName$Property
 264:            56          14320  [[Ljava.lang.Object;
 265:           891          14256  java.util.jar.Attributes
 266:            66          14256  org.hibernate.mapping.RootClass
 267:           352          14080  org.springframework.util.ConcurrentReferenceHashMap$Segment
 268:           352          13904  [Lcn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$HashEntry;
 269:           571          13704  java.util.concurrent.locks.ReentrantReadWriteLock
 270:           567          13608  java.lang.Long
 271:           242          13552  org.apache.catalina.webresources.JarResource
 272:           282          13536  org.apache.tomcat.util.modeler.OperationInfo
 273:           561          13464  java.lang.StringBuffer
 274:           336          13440  org.springframework.util.ConcurrentReferenceHashMap$Segment
 275:           238          13328  org.springframework.context.annotation.CommonAnnotationBeanPostProcessor$ResourceElement
 276:           330          13200  sun.reflect.UnsafeQualifiedStaticIntegerFieldAccessorImpl
 277:           264          13128  [[I
 278:           819          13104  java.lang.Short
 279:           102          13056  org.aspectj.weaver.reflect.ReflectionBasedResolvedMemberImpl
 280:           541          12984  org.springframework.beans.MutablePropertyValues
 281:           541          12984  org.springframework.beans.factory.config.ConstructorArgumentValues
 282:            18          12816  [Lcom.sun.org.apache.xerces.internal.util.SymbolTable$Entry;
 283:           320          12800  cn.nubia.framework.validator.internal.metadata.raw.ConstrainedField
 284:           317          12680  org.springframework.beans.factory.support.DisposableBeanAdapter
 285:           132          12672  org.hibernate.loader.entity.CascadeEntityLoader
 286:           517          12408  com.sun.org.apache.xerces.internal.util.XMLStringBuffer
 287:           768          12288  org.springframework.web.servlet.mvc.condition.ConsumesRequestCondition
 288:           768          12288  org.springframework.web.servlet.mvc.condition.HeadersRequestCondition
 289:           768          12288  org.springframework.web.servlet.mvc.condition.ParamsRequestCondition
 290:           768          12288  org.springframework.web.servlet.mvc.condition.RequestConditionHolder
 291:           768          12288  org.springframework.web.servlet.mvc.condition.RequestMethodsRequestCondition
 292:           169          12168  org.apache.catalina.webresources.JarResourceSet
 293:           168          12096  org.apache.ibatis.mapping.ResultMapping
 294:           246          11808  org.springframework.beans.PropertyValue
 295:           363          11616  org.hibernate.loader.entity.plan.EntityLoader$Builder
 296:           726          11616  org.hibernate.loader.entity.plan.EntityLoader$Builder$1
 297:           363          11616  org.hibernate.loader.plan.build.internal.LoadPlanImpl
 298:           363          11616  org.hibernate.loader.plan.build.internal.returns.EntityReturnImpl
 299:           726          11616  org.hibernate.loader.plan.build.internal.returns.SimpleEntityIdentifierDescriptionImpl
 300:           363          11616  org.hibernate.loader.plan.build.internal.spaces.QuerySpacesImpl
 301:           363          11616  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderReaderCollectorImpl
 302:           363          11616  org.hibernate.loader.plan.exec.internal.EntityLoadQueryDetails$EntityLoaderRowReader
 303:           726          11616  org.hibernate.loader.plan.exec.process.internal.EntityReturnReader
 304:           206          11536  java.util.ResourceBundle$CacheKey
 305:           360          11520  com.sun.org.apache.xerces.internal.impl.dtd.XMLElementDecl
 306:           286          11440  org.hibernate.tuple.entity.EntityBasedBasicAttribute
 307:           475          11400  org.apache.log4j.CategoryKey
 308:           283          11320  java.util.HashMap$EntryIterator
 309:           283          11320  org.apache.log4j.Logger
 310:            30          11280  java.lang.Thread
 311:           469          11256  java.util.concurrent.CopyOnWriteArrayList
 312:           468          11232  com.sun.org.apache.xerces.internal.xni.XMLString
 313:           155          11160  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 314:           228          10944  com.sun.org.apache.xerces.internal.util.XMLAttributesImpl$Attribute
 315:           684          10944  org.hibernate.annotations.common.reflection.java.JavaAnnotationReader
 316:           341          10912  sun.misc.FDBigInteger
 317:           192          10752  java.lang.invoke.MemberName
 318:            96          10752  java.util.GregorianCalendar
 319:           202          10656  [[Z
 320:           102          10608  sun.net.www.protocol.file.FileURLConnection
 321:           331          10592  org.apache.tomcat.util.digester.ObjectCreateRule
 322:           441          10584  org.apache.catalina.startup.ContextConfig$JavaClassCacheEntry
 323:           330          10560  org.hibernate.dialect.lock.SelectLockingStrategy
 324:            66          10560  org.hibernate.tuple.entity.EntityMetamodel
 325:           326          10432  org.apache.tomcat.util.digester.SetNextRule
 326:            10          10400  [Lcom.sun.org.apache.xerces.internal.impl.dtd.models.ContentModelValidator;
 327:            10          10400  [Lcom.sun.org.apache.xerces.internal.impl.dv.DatatypeValidator;
 328:            72          10368  org.aspectj.weaver.ReferenceType
 329:           645          10320  com.sun.proxy.$Proxy34
 330:           636          10176  java.util.concurrent.locks.ReentrantLock
 331:           254          10160  java.io.BufferedInputStream
 332:           253          10120  org.springframework.beans.factory.annotation.InitDestroyAnnotationBeanPostProcessor$LifecycleMetadata
 333:           140          10080  org.springframework.core.type.classreading.AnnotationMetadataReadingVisitor
 334:           419          10056  org.springframework.beans.MutablePropertyValues
 335:           419          10056  org.springframework.beans.factory.config.ConstructorArgumentValues
 336:           247           9880  com.sun.org.apache.xerces.internal.dom.DeferredAttrImpl
 337:           154           9856  org.apache.tomcat.util.net.jsse.openssl.Cipher
 338:           200           9600  java.util.Properties
 339:           237           9480  javax.management.MBeanOperationInfo
 340:           591           9456  sun.reflect.generics.tree.ArrayTypeSignature
 341:           194           9312  java.util.ResourceBundle$BundleReference
 342:           288           9216  org.hibernate.tuple.BaselineAttributeInformation
 343:           576           9216  org.springframework.util.LinkedMultiValueMap
 344:           286           9152  com.sun.org.apache.xerces.internal.util.SymbolTable$Entry
 345:           571           9136  java.util.concurrent.locks.ReentrantReadWriteLock$ReadLock
 346:           571           9136  java.util.concurrent.locks.ReentrantReadWriteLock$Sync$ThreadLocalHoldCounter
 347:           571           9136  java.util.concurrent.locks.ReentrantReadWriteLock$WriteLock
 348:           380           9120  org.springframework.core.convert.converter.GenericConverter$ConvertiblePair
 349:           374           8976  org.hibernate.loader.PropertyPath
 350:           160           8960  cn.nubia.framework.validator.internal.util.ConcurrentReferenceHashMap$Segment
